"timestamp","ip","protocol","port","hostname","tag","asn","geo","region","city","naics","sic","machine_type","afp_versions","uams","flags","server_name","signature","directory_service","utf8_servername","network_address"
"2020-08-01 15:13:28","123.25.21.128","tcp",548,"static.vnpt-hanoi.com.vn","afp",45899,"VN","HA NOI","HANOI",517311,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","HN1","a869829ae917d26f9ce260f09f720f69",,"HN1","192.168.1.221 (TCP/IP address),"
"2020-08-01 15:13:28","113.190.41.16","tcp",548,,"afp",45899,"VN","HA NOI","HANOI",517311,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","DS918","4351d4588fe3dbdc98c442482f1a8bbf",,"DS918","113.190.41.21 (TCP/IP address),"
"2020-08-01 15:14:50","115.77.95.19","tcp",548,"adsl.viettel.vn","afp",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","Cleartxt Passwrd,DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","thongtin","c90c9e1f7088d1ffdac3ca36a2a403e6",,"thongtin","10.0.1.100 (TCP/IP address),"
"2020-08-01 15:14:50","113.173.205.78","tcp",548,"static.vnpt.vn","afp",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","AQNAS","298a3ffe8c8cd8583085e06ae0dcc13e",,"AQNAS","192.168.100.50 (TCP/IP address),"
"2020-08-01 15:14:51","14.226.98.188","tcp",548,"static.vnpt.vn","afp",45899,"VN","HAI PHONG","HAI PHONG",517311,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","Cleartxt Passwrd,DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","vipserver","a222c07b7e25b744dda4ad81768d6729",,"vipserver","192.168.1.3 (TCP/IP address),"
"2020-08-01 15:14:51","14.241.91.5","tcp",548,"static.vnpt.vn","afp",45899,"VN","VINH PHUC","VINH YEN",517311,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","Cleartxt Passwrd,DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","NAS","d1217875ccfa8fc04b8d9556d77bc75e",,"NAS","192.168.1.100 (TCP/IP address),"
"2020-08-01 15:14:53","171.231.235.71","tcp",548,"dynamic-adsl.viettel.vn","afp",7552,"VN","HA NOI","HANOI",517312,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","Cleartxt Passwrd,DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","HOANGTIEU","34c5373249c9c0125491cc64b425432a",,"HOANGTIEU","192.168.1.171 (TCP/IP address),"
"2020-08-01 15:15:41","14.187.229.184","tcp",548,"static.vnpt.vn","afp",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","Sankei","390c544110803df21b085e3382d3e043",,"Sankei","192.168.242.234 (TCP/IP address),"
"2020-08-01 15:15:42","171.250.179.184","tcp",548,"dynamic-adsl.viettel.vn","afp",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"Netatalk2.2.2","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3","DHX2,DHCAST128,Cleartxt Passwrd,No User Authent","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","TS5800DB2A","7b5a305caf624d0348e8d8f5f4c3baab",,"TS5800DB2A","192.168.1.199 (TCP/IP address),"
"2020-08-01 15:15:42","222.252.11.165","tcp",548,"static.vnpt-hanoi.com.vn","afp",45899,"VN","HA NOI","HANOI",517311,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","DATA","a0996eb56ffc3085c01e14c6647c1812",,"DATA","192.168.1.20 (TCP/IP address),"
"2020-08-01 15:15:44","118.70.118.252","tcp",548,,"afp",18403,"VN","HA NOI","HANOI",517311,,"Netatalk2.2.4","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3","DHX2,DHCAST128,Cleartxt Passwrd,No User Authent","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","TS3400D134","f8ab8ed1eddb330186838edab8ec5cf5",,"TS3400D134","192.168.1.199 (TCP/IP address),"
