"timestamp","ip","protocol","port","hostname","tag","asn","geo","region","city","naics","sic","module","motd","password"
"2020-08-01 16:07:52","43.239.222.209","tcp",873,"dc222.kdata.vn","rsync",18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,,,
"2020-08-01 16:07:57","113.190.229.71","tcp",873,"static.vnpt.vn","rsync",45899,"VN","HA NOI","HANOI",517311,,"disk1_share;disk2_share2;",,"N"
"2020-08-01 16:07:59","14.225.17.200","tcp",873,"static.vnpt.vn","rsync",135905,"VN","HA NOI","HANOI",517311,,"data;",,"N"
"2020-08-01 16:08:16","115.79.78.184","tcp",873,"adsl.viettel.vn","rsync",7552,"VN","SOC TRANG","SOC TRANG",517312,,"ADMIN;DU.ND;EM.TTU;HIEN.DTK;HO.VV;homes|user home;MailPlus|Synology MailPlus;NetBackup|System default shared folder;OANH.NTH;photo|System default shared folder;surveillance|System default shared folder;THI.CTM;THIEN.NC;THPTUVK;TOAN.HB;TRUC.NT;web|System default shared folder;xcloud;home|~;",,"N"
"2020-08-01 16:08:17","171.244.9.151","tcp",873,,"rsync",38731,"VN","HA NOI","HANOI",517312,,,,
"2020-08-01 16:08:18","118.68.181.116","tcp",873,,"rsync",18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"disk1_Hhiep;",,"N"
"2020-08-01 16:08:18","210.211.127.6","tcp",873,,"rsync",38731,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,,,
"2020-08-01 16:08:28","171.244.9.97","tcp",873,,"rsync",38731,"VN","HA NOI","HANOI",517312,,,,
"2020-08-01 16:08:29","103.92.25.253","tcp",873,,"rsync",135915,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,,,
"2020-08-01 16:08:29","14.231.223.217","tcp",873,"static.vnpt.vn","rsync",45899,"VN","HA NOI","HANOI",517311,,"array1_DuLieu;array1_nhac;array1_setup;array1_anh;",,"N"
"2020-08-01 16:08:31","171.242.117.214","tcp",873,"dynamic-ip-adsl.viettel.vn","rsync",7552,"VN","NGHE AN","VINH",517312,,"disk1_TaiLieuCty;disk1_Hoc%2dTap;",,"N"
"2020-08-01 16:08:33","113.182.73.83","tcp",873,"static.vnpt.vn","rsync",45899,"VN","BA RIA-VUNG TAU","VUNG TAU",517311,,,,
"2020-08-01 16:08:42","171.244.9.137","tcp",873,,"rsync",38731,"VN","HA NOI","HANOI",517312,,,,
"2020-08-01 16:08:42","116.118.4.149","tcp",873,,"rsync",7602,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"Avideo;Avideo2|#343#205#201#343#205#216;homes|user home;music|System default shared folder;photo|System default shared folder;Plex;Tenminal;TV;video|System default shared folder;home|~;",,"N"
"2020-08-01 16:08:42","117.0.200.26","tcp",873,"localhost","rsync",7552,"VN","HA NOI","HANOI",517312,,"disk1_DUANTIEUBIEU;disk1_PHONGKETOAN;disk1_PHONGTHIETKE;disk1_PHONGMARKETING;",,"N"
"2020-08-01 16:08:42","171.244.9.164","tcp",873,,"rsync",38731,"VN","HA NOI","HANOI",517312,,,,
"2020-08-01 16:09:02","113.165.167.151","tcp",873,"static.vdc.com.vn","rsync",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"ActiveBackupforBusiness;bichvan;danhtuan;DATA;duchoai|#304#220#341#273#251c Ho#303#240i;DUNGCHUNG;hanhchinh;huyenthuong;NetBackup|System default shared folder;quynhmai;thanhdanh;vanson;viethung|Vi#341#273#207t H#303#271ng;vythu;home|~;",,"N"
"2020-08-01 16:09:08","14.235.189.179","tcp",873,"static.vnpt.vn","rsync",45899,"VN","THAI NGUYEN","THAI NGUYEN",517311,,"DATA|data;ENTERTAINMENT|GIAITRI;homes|user home;music|System default shared folder;NetBackup|System default shared folder;photo|System default shared folder;SETUP|Setup;share;home|~;",,"N"
