timestamp,ip,protocol,port,hostname,packets,size,asn,geo,region,city,naics,sic,sector
8/1/2020 5:17,14.169.185.55,udp,123,static.vnpt.vn,1,80,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,Communications
8/1/2020 5:17,116.100.6.229,udp,123,dynamic-ip-adsl.viettel.vn,1,440,24086,VN,HA NOI,HANOI,517312,,Communications
8/1/2020 5:17,222.253.153.206,udp,123,static.vnpt.vn,100,44000,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,Communications
8/1/2020 5:18,171.245.251.131,udp,123,dynamic-ip-adsl.viettel.vn,100,44000,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,517312,,Communications
8/1/2020 5:18,14.249.203.186,udp,123,static.vnpt.vn,100,44000,45899,VN,HUNG YEN,HUNG YEN,517311,,Communications
8/1/2020 5:18,1.54.59.69,udp,123,,100,44000,18403,VN,KHANH HOA,NHA TRANG,517311,,Communications
8/1/2020 5:20,14.169.217.166,udp,123,static.vnpt.vn,1,80,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,Communications
8/1/2020 5:21,42.119.78.211,udp,123,,100,44000,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,Communications
8/1/2020 5:21,171.247.30.166,udp,123,dynamic-adsl.viettel.vn,60,26400,7552,VN,DONG NAI,DINH QUAN,517312,,Communications
8/1/2020 5:22,113.186.179.90,udp,123,static.vnpt.vn,100,44000,45899,VN,BAC NINH,BAC NINH,517311,,Communications
8/1/2020 5:22,171.251.47.44,udp,123,dynamic-ip-adsl.viettel.vn,100,44000,7552,VN,LAM DONG,DA LAT,517312,,Communications
8/1/2020 5:22,171.236.209.77,udp,123,dynamic-adsl.viettel.vn,9,3960,7552,VN,HA NOI,HANOI,517312,,Communications
8/1/2020 5:22,42.117.50.170,udp,123,,100,44000,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,Communications
8/1/2020 5:22,113.173.158.32,udp,123,static.vnpt.vn,1,80,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,Communications
