"timestamp","ip","protocol","port","hostname","tag","asn","geo","region","city","naics","sic","ipp_version","cups_version","printer_uris","printer_name","printer_info","printer_more_info","printer_make_and_model","printer_firmware_name","printer_firmware_string_version","printer_firmware_version","printer_organization","printer_organization_unit","printer_uuid","printer_wifi_ssid"
"2020-08-01 12:50:15","113.173.99.208","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"IPP/2.1","CUPS/1.7",,,,,,,,,,,,
"2020-08-01 12:50:49","115.78.1.66","tcp",631,,"ipp",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,,,"ipp://115.78.1.66:631/ipp/print","NPI7E20DD","HP LaserJet M402dn","http://115.78.1.66:631/hp/device/info_config_AirPrint.html?tab=Networking&menu=AirPrintStatus","HP LaserJet M402dn",20180201,20180201,20180201,,,"urn:uuid:5048434e-4636-3032-3233-b4b6867e20dd",
"2020-08-01 12:51:14","1.55.218.42","tcp",631,,"ipp",18403,"VN","HA NOI","HANOI",517311,,,,"http://192.168.1.245:631/","BRWD85DE215F314","MFG:Brother;CMD:PJL,HBP;MDL:HL-1210W series;CLS:PRINTER;CID:Brother Laser Type1;",,"Brother HL-1210W series",,,,,,,
"2020-08-01 12:51:18","113.161.68.218","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"IPP/2.1","CUPS/1.6",,,,,,,,,,,,
"2020-08-01 12:51:31","113.161.172.133","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,,,,,,,,,,,,,,
"2020-08-01 12:51:33","183.80.90.177","tcp",631,,"ipp",18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,,,"http://192.168.1.11:631/","BRN001BA99FCB85","MFG:Brother;CMD:PJL,HBP;MDL:DCP-7065DN;CLS:PRINTER;CID:Brother Laser Type1;",,"Brother DCP-7065DN",,,,,,,
"2020-08-01 12:52:25","27.76.153.208","tcp",631,"localhost","ipp",7552,"VN","HA NOI","HANOI",517312,,"IPP/2.1","CUPS/2.1",,,,,,,,,,,,
"2020-08-01 12:53:19","113.181.152.117","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HAI DUONG","HAI DUONG",517311,,"IPP/2.1","CUPS/2.2","ipp://113.181.152.117:631/printers/Brother_HL-L2320D_series","Brother_HL-L2320D_series","Brother HL-L2320D series","http://113.181.152.117:631/printers/Brother_HL-L2320D_series","Brother HL-L2320D series, using brlaser v6",,,,,,"urn:uuid:2b03195b-dec8-360c-51b3-78614d797a92",
"2020-08-01 12:54:22","113.161.170.51","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HA NOI","HANOI",517311,,"IPP/2.1","CUPS/2.1",,,,,,,,,,,,
"2020-08-01 12:55:06","103.53.169.147","tcp",631,"dc169.kdata.vn","ipp",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,,,,,,,,,,,,,,
"2020-08-01 12:55:08","27.71.134.1","tcp",631,"localhost","ipp",7552,"VN","LAM DONG","DA LAT",517312,,"IPP/2.1","CUPS/2.1",,,,,,,,,,,,
"2020-08-01 12:55:17","115.79.197.209","tcp",631,"adsl.viettel.vn","ipp",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,,"CUPS/1.4",,,,,,,,,,,,
"2020-08-01 12:55:29","203.162.166.163","tcp",631,,"ipp",45899,"VN","HA NOI","HANOI",517311,,"IPP/2.1","CUPS/1.6",,,,,,,,,,,,
