timestamp,ip,protocol,port,hostname,sysdesc,sysname,asn,geo,region,city,version,naics,sic,sector
8/1/2020 3:15,118.69.65.109,udp,161,,DrayTek Corporation Router Model: Vigor2960 Version: 1.5.1_Beta/1.5.1 Build Date/Time: 2020-02-05 15:53:44,Vigor,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,2,517311,,Communications
8/1/2020 3:15,222.255.239.54,udp,161,webmail.daihuu.net,Linux webmail.daihuu.net 2.6.32-642.11.1.el6.x86_64 #1 SMP Fri Nov 18 19:25:05 UTC 2016 x86_64,webmail.daihuu.net,7643,VN,HA GIANG,DUONG HONG,2,517311,,Communications
8/1/2020 3:15,115.74.241.252,udp,161,adsl.viettel.vn,Brother NC-8700h Firmware Ver.Q  MID 84U-F75,BRN3C2AF47D73F6,7552,VN,HA NOI,HANOI,2,517312,,Communications
8/1/2020 3:15,42.114.104.38,udp,161,,DrayTek Corporation Router Model: Vigor2960 Version: 1.5.0_Beta/1.5.1 Build Date/Time: 2019-12-10 11:34:58,V2960-FPT,18403,VN,HA NOI,HANOI,2,517311,,Communications
8/1/2020 3:15,113.161.49.103,udp,161,static.vnpt.vn,Brother NC-8700h Firmware Ver.Q  MID 84U-F75,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,2,517311,,Communications
8/1/2020 3:15,113.161.169.75,udp,161,static.vnpt.vn,DrayTek Corporation Router Model: Vigor2960 Version: 1.5.1_Beta/1.5.1 Build Date/Time: 2020-02-05 15:53:44,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,2,517311,,Communications
8/1/2020 3:15,14.161.44.251,udp,161,,DrayTek Corporation Router Model: Vigor300B Version: 1.5.1_Beta/1.5.1 Build Date/Time: 2020-02-06 05:25:57,Vigor,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,2,517311,,Communications
8/1/2020 3:15,14.241.35.115,udp,161,static.vnpt.vn,none,,45899,VN,BAC GIANG,BAC GIANG,2,517311,,Communications
8/1/2020 3:15,203.210.232.62,udp,161,adsl.hnpt.com.vn,RouterOS CCR1016-12G,,45899,VN,AN GIANG,LONG XUYEN,2,517311,,Communications
8/1/2020 3:15,115.79.137.55,udp,161,,DrayTek Corporation Router Model: Vigor2960 Version: 1.4.4_Beta/1.4.4 Build Date/Time: 2019-07-07 23:29:57,Vigor2960,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,2,517312,,Communications
