"timestamp","src_ip","src_asn","src_geo","src_region","src_port","dst_ip","dst_asn","dst_geo","dst_region","dst_port","protocol","tag","hostname","sysdesc","sysname","http_url","http_agent","http_host","http_referer","http_referer_ip","http_referer_asn","http_referer_geo","http_referer_region","forwarded_by","ssl_cipher"
"2020-08-01 00:00:05","2402:800:63b8:8285:b187:5d5b:3cf9:2b81",7552,"VN","HO CHI MINH",50377,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"tsifiri",,,,"GET /VERSION.TXT HTTP/1.1","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; Tablet PC 2.0; HCTE; InfoPath.3)","0-0-0-0-0-1-1-1-0-0-1-0-0-1-1-1-0-0-0-0-1-1-0-1-1-1-1-1-1-1-1-.0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0-0-0-0-0-0-0-0-0-0-0-0.info",,,,,,,
"2020-08-01 00:03:29","2402:800:6105:eec4:4d6f:786a:d277:9907",7552,"VN","HA NOI",49293,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"tsifiri",,,,"GET /DATA HTTP/1.1","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Zoom 3.6.0)","6-6-7-4-7-2-8-4-2-3-6-2-8-2-4-8-5-9-4-7-7-3-2-6-9-7-6-4-3-7-3-.0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0-0-0-0-0-0-0-0-0-0-0-0.info",,,,,,,
"2020-08-01 00:03:35","2402:800:63eb:fbfb:1d2b:ae14:377:a3ca",7552,"VN","HO CHI MINH",47282,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"ghost-push",,,,"POST /aum/api/1/ HTTP/1.1",,"u.amobisc.com",,,,,,,
"2020-08-01 00:03:46","2402:800:63de:3e69:109d:54c4:3f28:548c",7552,"VN","QUANG TRI",55108,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"ghost-push",,,,"POST /okla/api/2 HTTP/1.1","Dalvik/1.6.0 (Linux; U; Android 4.2.2; mobiistar touch LAI 512 Build/JDQ39)","mk.omkol.com",,,,,,,
"2020-08-01 00:07:37","2001:ee0:4914:bbb0:89d9:2a41:ee87:c3a",45899,"VN","HUNG YEN",50073,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"sality",,,,"GET /home.gif?1f7d98=8255072 HTTP/1.1","Opera/9.50 (Windows NT 6.0; U; en)","kukutrustnet777.info",,,,,,,
"2020-08-01 00:08:24","2402:800:634b:d22c:80bc:4175:646a:4ba",7552,"VN","HA NOI",49573,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"tsifiri",,,,"GET /DATA HTTP/1.1","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; Tablet PC 2.0)","5-6-6-8-2-5-4-1-3-7-7-3-8-5-6-4-7-2-5-8-3-6-2-1-2-1-4-6-5-6-6-.0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0-0-0-0-0-0-0-0-0-0-0-0.info",,,,,,,
"2020-08-01 00:09:57","2001:ee0:48e3:8960:3d15:b374:8191:2064",45899,"VN","HAI PHONG",64956,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"sality",,,,"GET /t_100_v400/?rnd=61655625&id=862157864735 HTTP/1.1","KUKU v4.00 alpha","www.inform1ongung.info",,,,,,,
"2020-08-01 00:12:11","2405:4800:205e:d5c2:3dfa:f410:dccb:cb6c",18403,"VN","HA NOI",47075,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"ghost-push",,,,"POST /okla/api/2 HTTP/1.1","Dalvik/1.6.0 (Linux; U; Android 4.2.2; ME173X Build/JDQ39)","mk.omkol.com",,,,,,,
"2020-08-01 00:13:01","2402:800:61aa:8a02:95e6:da9d:14da:c44a",7552,"VN","HA NOI",35116,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"ghost-push",,,,"POST /omla/i/3 HTTP/1.1","Dalvik/1.6.0 (Linux; U; Android 4.4.2; KISSME-DG580 Build/KOT49H)","p.omlao.com",,,,,,,
"2020-08-01 00:13:40","2402:800:6216:fd40:ede5:1092:10fc:182f",7552,"VN","HA NOI",60005,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"ghost-push",,,,"POST /okla/api/2 HTTP/1.1","Dalvik/1.6.0 (Linux; U; Android 4.1.2; LG-F200K Build/JZO54K)","mk.omkol.com",,,,,,,
"2020-08-01 00:18:29","2001:ee0:4181:f841:58aa:89ed:140d:fcdb",45899,"VN","HA NOI",49476,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"sality",,,,"GET /home.gif?1f533e=12317556 HTTP/1.1","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50728)","kukutrustnet777.info",,,,,,,
"2020-08-01 00:28:30","2402:800:61b1:51c0:720b:c0ff:fe0d:27f0",7552,"VN","HA NOI",60720,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"ghost-push",,,,"POST /aum/api/1/ HTTP/1.1",,"u.amobisc.com",,,,,,,
"2020-08-01 00:29:39","2402:800:6236:3e41:592a:68c8:d7f1:dbcf",7552,"VN","QUANG NAM",49179,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"tsifiri",,,,"GET /DATA HTTP/1.1","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)","5-8-5-3-6-0-6-6-4-1-2-2-7-0-4-6-7-2-8-7-6-8-7-3-1-8-7-6-3-0-1-.0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-0-0-0-0-0-0-0-0-0-0-0-0.info",,,,,,,
"2020-08-01 00:42:33","2001:ee0:4c72:79f0:ac1b:fc83:9c96:fca",45899,"VN","HA NOI",64027,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"sality",,,,"GET /?501cde62=-1606828860 HTTP/1.1","KUKU v5.06exp =134376918757042","kukutrustnet777.info",,,,,,,
"2020-08-01 00:46:51","2001:ee0:5011:f110:545c:f32c:eded:f7e0",45899,"VN","HO CHI MINH",49213,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"tsifiri",,,,"GET /DATA HTTP/1.1","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E; Media Center PC 6.0)","1-2-3-4-6-3-8-8-5-4-1-3-2-6-9-3-3-8-2-6-6-6-7-8-2-4-8-3-6-4-8-.0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0-0-0-0-0-0-0-0-0-0-0-0.info",,,,,,,
"2020-08-01 00:51:30","2402:800:6133:7edf:d51b:31f:746f:112e",7552,"VN","HAI PHONG",38759,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"ghost-push",,,,"POST /okla/api/2 HTTP/1.1","Dalvik/1.6.0 (Linux; U; Android 4.4.2; T706-HD-MIPI Build/KOT49H)","mk.omkol.com",,,,,,,
