"timestamp","ip","protocol","port","hostname","tag","asn","geo","region","city","naics","sic","size","configuration_naming_context","current_time","default_naming_context","dns_host_name","domain_controller_functionality","domain_functionality","ds_service_name","forest_functionality","highest_committed_usn","is_global_catalog_ready","is_synchronized","ldap_service_name","naming_contexts","root_domain_naming_context","schema_naming_context","server_name","subschema_subentry","supported_capabilities","supported_control","supported_ldap_policies","supported_ldap_version","supported_sasl_mechanisms"
"2020-08-01 08:29:45","113.164.236.108","tcp",389,"static.vnpt.vn","ldap-tcp",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,0,,,,,7,4,,4,,"TRUE",,"magx.com.vn:newserver$@MAGX.COM.VN",,"DC=magx,DC=com,DC=vn",,,,,"1.2.840.113556.1.4.319|1.2.840.113556.1.4.801|1.2.840.113556.1.4.473|1.2.840.113556.1.4.528|1.2.840.113556.1.4.417|1.2.840.113556.1.4.619|1.2.840.113556.1.4.841|1.2.840.113556.1.4.529|1.2.840.113556.1.4.805|1.2.840.113556.1.4.521|1.2.840.113556.1.4.970|1.2.840.113556.1.4.1338|1.2.840.113556.1.4.474|1.2.840.113556.1.4.1339|1.2.840.113556.1.4.1340|1.2.840.113556.1.4.1413|2.16.840.1.113730.3.4.9|2.16.840.1.113730.3.4.10|1.2.840.113556.1.4.1504|1.2.840.113556.1.4.1852|1.2.840.113556.1.4.802|1.2.840.113556.1.4.1907|1.2.840.113556.1.4.1948|1.2.840.113556.1.4.1974|","MaxPoolThreads|MaxPercentDirSyncRequests|MaxDatagramRecv|MaxReceiveBuffer|InitRecvTimeout|MaxConnections|MaxConnIdleTime|MaxPageSize|MaxBatchReturnMessages|MaxQueryDuration|MaxDirSyncDuration|MaxTempTableSize|MaxResultSetSize|MinResultSets|MaxResultSetsPerConn|MaxNotificationPerConn|MaxValRange|MaxValRangeTransitive|ThreadMemoryLimit|SystemMemoryLimitPercent","3|2","GSSAPI|GSS-SPNEGO|EXTERNAL|DIGEST-MD5"
"2020-08-01 08:29:51","112.72.98.153","tcp",389,,"ldap-tcp",45539,"VN","HA NOI","HANOI",0,,0,,,,,,,,,,,,,,,,,,,,,,
"2020-08-01 08:29:51","202.143.111.249","tcp",389,"ip.viettelidchcm.com","ldap-tcp",56158,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,0,,,,,,,,,,,,,,,,,,,,,,
"2020-08-01 08:29:55","203.162.242.98","tcp",389,"mail.anexvietnam.com","ldap-tcp",45899,"VN","HAI PHONG","HAI PHONG",517311,,0,,,,,,,,,,,,,,,,,,,,,,
"2020-08-01 08:29:57","103.139.103.246","tcp",389,,"ldap-tcp",18403,"VN","HA NOI","HANOI",0,,0,,,,,,,,,,,,,,,,,,,,,,
"2020-08-01 08:30:00","115.146.127.195","tcp",389,,"ldap-tcp",38732,"VN","HA NOI","HANOI",0,,0,"CN=Configuration,DC=RNETVN,DC=local","20200801083000.0Z","DC=RNETVN,DC=local",,,,"CN=Configuration,DC=RNETVN,DC=local",,,,,,"DC=RNETVN,DC=local|CN=Configuration,DC=RNETVN,DC=local|CN=Schema,CN=Configuration,DC=RNETVN,DC=local|DC=DomainDnsZones,DC=RNETVN,DC=local|DC=ForestDnsZones,DC=RNETVN,DC=local","DC=RNETVN,DC=local","CN=Schema,CN=Configuration,DC=RNETVN,DC=local",,"CN=Aggregate,CN=Schema,CN=Configuration,DC=RNETVN,DC=local",,"1.2.840.113556.1.4.319|1.2.840.113556.1.4.801|1.2.840.113556.1.4.473|1.2.840.113556.1.4.528|1.2.840.113556.1.4.417|1.2.840.113556.1.4.619|1.2.840.113556.1.4.841|1.2.840.113556.1.4.529|1.2.840.113556.1.4.805|1.2.840.113556.1.4.521|1.2.840.113556.1.4.970|1.2.840.113556.1.4.1338|1.2.840.113556.1.4.474|1.2.840.113556.1.4.1339|1.2.840.113556.1.4.1340|1.2.840.113556.1.4.1413|2.16.840.1.113730.3.4.9|2.16.840.1.113730.3.4.10|1.2.840.113556.1.4.1504|1.2.840.113556.1.4.1852|1.2.840.113556.1.4.802|1.2.840.113556.1.4.1907|1.2.840.113556.1.4.1948|1.2.840.113556.1.4.1974|1.2.840.113556.1.4.1341|1.2.840.113556.1.4.202",,,
"2020-08-01 08:30:16","103.139.103.251","tcp",389,,"ldap-tcp",18403,"VN","HA NOI","HANOI",0,,0,,,,,,,,,,,,,,,,,,,,,,
"2020-08-01 08:30:19","103.101.160.219","tcp",389,"mail.songda9.com","ldap-tcp",131353,"VN","HA NOI","HANOI",0,,0,,,,,,,,,,,,,,,,,,,,,,
"2020-08-01 08:30:19","103.28.38.235","tcp",389,"mail.vspharma.vn","ldap-tcp",131353,"VN","HA NOI","HANOI",0,,0,,,,,,,,,,,,,,,,,,,,,,
"2020-08-01 08:30:19","125.253.121.214","tcp",389,"mxhcm35.email-nhanhoa.net","ldap-tcp",45538,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,0,,,,,,,,,,,,,,,,,,,,,,
"2020-08-01 08:30:23","103.54.248.243","tcp",389,,"ldap-tcp",135905,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,0,"CN=Configuration,CN={8E9400C9-B5E1-4FE3-9452-02D731FD76CE}","20200801083021.0Z",,,,,"CN={8E9400C9-B5E1-4FE3-9452-02D731FD76CE}",,,,,,"CN=Configuration,CN={8E9400C9-B5E1-4FE3-9452-02D731FD76CE}|CN=Schema,CN=Configuration,CN={8E9400C9-B5E1-4FE3-9452-02D731FD76CE}|DC=virtualcenter,DC=vmware,DC=int",,"CN=Schema,CN=Configuration,CN={8E9400C9-B5E1-4FE3-9452-02D731FD76CE}",,"CN=Aggregate,CN=Schema,CN=Configuration,CN={8E9400C9-B5E1-4FE3-9452-02D731FD76CE}",,"1.2.840.113556.1.4.319|1.2.840.113556.1.4.801|1.2.840.113556.1.4.473|1.2.840.113556.1.4.528|1.2.840.113556.1.4.417|1.2.840.113556.1.4.619|1.2.840.113556.1.4.841|1.2.840.113556.1.4.529|1.2.840.113556.1.4.805|1.2.840.113556.1.4.521|1.2.840.113556.1.4.970|1.2.840.113556.1.4.1338|1.2.840.113556.1.4.474|1.2.840.113556.1.4.1339|1.2.840.113556.1.4.1340|1.2.840.113556.1.4.1413|2.16.840.1.113730.3.4.9|2.16.840.1.113730.3.4.10|1.2.840.113556.1.4.1504|1.2.840.113556.1.4.1852|1.2.840.113556.1.4.802|1.2.840.113556.1.4.1907|1.2.840.113556.1.4.1948|1.2.840.113556.1.4.1974|1.2.840.113556.1.4.1341|1.2.840.113556.1.4.2026|1.2.840.113556.1.4",,,
"2020-08-01 08:30:26","103.54.249.111","tcp",389,"sv249d111.static.dc.ngoinhamang.com","ldap-tcp",135905,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,0,,,,,,,,,,,,,,,,,,,,,,
"2020-08-01 08:30:32","103.28.36.164","tcp",389,"mail.thammyhemera.com","ldap-tcp",131353,"VN","HA NOI","HANOI",0,,0,,,,,,,,,,,,,,,,,,,,,,
"2020-08-01 08:30:42","112.78.11.220","tcp",389,,"ldap-tcp",45538,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,0,,,,,,,,,,,,,,,,,,,,,,
"2020-08-01 08:30:42","27.68.130.223","tcp",389,"localhost","ldap-tcp",7552,"VN","HA NOI","HANOI",517312,,0,"CN=Configuration,DC=hyundaialu,DC=com,DC=vn","20200801082656.0Z","DC=hyundaialu,DC=com,DC=vn",,,,"CN=Configuration,DC=hyundaialu,DC=com,DC=vn",,,,,,"DC=hyundaialu,DC=com,DC=vn|CN=Configuration,DC=hyundaialu,DC=com,DC=vn|CN=Schema,CN=Configuration,DC=hyundaialu,DC=com,DC=vn|DC=DomainDnsZones,DC=hyundaialu,DC=com,DC=vn|DC=ForestDnsZones,DC=hyundaialu,DC=com,DC=vn","DC=hyundaialu,DC=com,DC=vn","CN=Schema,CN=Configuration,DC=hyundaialu,DC=com,DC=vn",,"CN=Aggregate,CN=Schema,CN=Configuration,DC=hyundaialu,DC=com,DC=vn",,"1.2.840.113556.1.4.319|1.2.840.113556.1.4.801|1.2.840.113556.1.4.473|1.2.840.113556.1.4.528|1.2.840.113556.1.4.417|1.2.840.113556.1.4.619|1.2.840.113556.1.4.841|1.2.840.113556.1.4.529|1.2.840.113556.1.4.805|1.2.840.113556.1.4.521|1.2.840.113556.1.4.970|1.2.840.113556.1.4.1338|1.2.840.113556.1.4.474|1.2.840.113556.1.4.1339|1.2.840.113556.1.4.1340|1.2.840.113556.1.4.1413|2.16.840.1.113730.3.4.9|2.16.840.1.113730.3.4.10|1.2.840.113556.1.4.1504|1.2.840.113556.1.4.1852|1.2.840.113556.1.4.802|1.2.840.113556.1.4.1907|1.2.840.113556.1.4",,,
"2020-08-01 08:30:45","103.141.144.10","tcp",389,,"ldap-tcp",18403,"VN","HA NOI","HANOI",0,,0,,,,,,,,,,,,,,,,,,,,,,
"2020-08-01 08:30:46","103.97.125.100","tcp",389,"no-ptr.123host.vn","ldap-tcp",56153,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,0,,,,,,,,,,,,,,,,,,,,,,
"2020-08-01 08:30:46","113.161.88.32","tcp",389,"vankhoaco.com","ldap-tcp",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,0,"CN=Configuration,DC=vkmanager,DC=company","20200801083430.0Z","DC=vkmanager,DC=company",,,,"CN=Configuration,DC=vkmanager,DC=company",,,,,,"DC=vkmanager,DC=company|CN=Configuration,DC=vkmanager,DC=company|CN=Schema,CN=Configuration,DC=vkmanager,DC=company|DC=DomainDnsZones,DC=vkmanager,DC=company|DC=ForestDnsZones,DC=vkmanager,DC=company","DC=vkmanager,DC=company","CN=Schema,CN=Configuration,DC=vkmanager,DC=company",,"CN=Aggregate,CN=Schema,CN=Configuration,DC=vkmanager,DC=company",,"1.2.840.113556.1.4.319|1.2.840.113556.1.4.801|1.2.840.113556.1.4.473|1.2.840.113556.1.4.528|1.2.840.113556.1.4.417|1.2.840.113556.1.4.619|1.2.840.113556.1.4.841|1.2.840.113556.1.4.529|1.2.840.113556.1.4.805|1.2.840.113556.1.4.521|1.2.840.113556.1.4.970|1.2.840.113556.1.4.1338|1.2.840.113556.1.4.474|1.2.840.113556.1.4.1339|1.2.840.113556.1.4.1340|1.2.840.113556.1.4.1413|2.16.840.1.113730.3.4.9|2.16.840.1.113730.3.4.10|1.2.840.113556.1.4.1504|1.2.840.113556.1.4.1852|1.2.840.113556.1.4.802|1.2.840.113556.1.4.1907|1.2",,,
"2020-08-01 08:31:02","45.117.82.92","tcp",389,"mail.royalvn.vn","ldap-tcp",131353,"VN","HA NOI","HANOI",0,,0,,,,,,,,,,,,,,,,,,,,,,
