timestamp,ip,protocol,port,hostname,tag,version,asn,geo,region,city,naics,sic,pid,pointer_size,uptime,time,curr_connections,total_connections,sector
8/1/2020 8:36,103.48.80.119,udp,11211,sv-80119.bkns.vn,memcached,1.4.15,135905,VN,HA NOI,HANOI,0,,895,64,5528684,36:58.0,9,2607,Communications
8/1/2020 8:45,125.212.212.88,udp,11211,,memcached,1.4.15,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,517312,,181471,64,8974780,45:48.0,9,319,Communications
8/1/2020 9:02,45.119.84.149,udp,11211,,memcached,1.4.15,131386,VN,HA NOI,HANOI,0,,1928,64,1058522,04:00.0,9,101,Communications
8/1/2020 9:15,103.56.157.178,udp,11211,,memcached,1.4.15,45899,VN,HA NOI,HANOI,0,,19820,64,412143,15:49.0,11,64,Communications
8/1/2020 9:18,45.124.86.23,udp,11211,sv-86023.bkns.vn,memcached,1.4.15,135905,VN,HA NOI,HANOI,0,,883,64,28072218,18:45.0,9,2963,Communications
8/1/2020 9:21,123.31.12.207,udp,11211,static.vnpt.vn,memcached,1.4.22,135905,VN,HA NOI,HANOI,517311,,1047,64,2509320,21:01.0,9,530,Communications
8/1/2020 9:25,150.95.109.216,udp,11211,v150-95-109-216.a00b.g.han1.static.cnode.io,memcached,1.4.15,131392,VN,HA NOI,HANOI,0,,22428,64,43950994,25:46.0,14,129,Communications
8/1/2020 9:34,123.30.237.48,udp,11211,static.vnpt.vn,memcached,1.4.4,45899,VN,HA NOI,HANOI,517311,,1337,64,123416,29:53.0,9,20,Communications
8/1/2020 9:44,203.205.63.110,udp,11211,static.cmcti.vn,memcached,1.4.15,45903,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,1059,64,6133029,39:44.0,9,434,Communications
8/1/2020 9:58,103.9.206.41,udp,11211,,memcached,1.4.15,135905,VN,THUA THIEN-HUE,HUE,0,,5822,64,2077352,58:27.0,11,2394169,Communications
8/1/2020 10:04,124.158.5.133,udp,11211,tsejun.specialitems.net,memcached,1.4.22,38732,VN,HA NOI,HANOI,0,,1639,64,46366790,33:01.0,26,6006,Communications
8/1/2020 10:07,103.9.76.210,udp,11211,,memcached,1.4.15,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,21923,64,23441,50:17.0,9,12,Communications
