timestamp,ip,protocol,port,hostname,tag,version,asn,geo,region,city,naics,sic,opcode,uptime,external_ip,sector
8/1/2020 2:25,118.69.210.28,udp,5351,,nat-pmp,0,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,128,8388607,113.20.114.177,Communications
8/1/2020 2:59,116.109.23.164,udp,5351,,nat-pmp,0,24086,VN,HO CHI MINH,THANH PHO HO CHI MINH,517312,,128,8388607,0.0.0.0,Communications
8/1/2020 3:01,115.79.208.39,udp,5351,,nat-pmp,0,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,517312,,128,342218,192.168.0.254,Communications
8/1/2020 3:05,113.176.99.132,udp,5351,static.vnpt.vn,nat-pmp,0,45899,VN,DA NANG,DA NANG,517311,,128,1038989,113.176.99.132,Communications
8/1/2020 3:26,113.161.145.64,udp,5351,,nat-pmp,0,45899,VN,HA NOI,HANOI,517311,,128,8388607,14.183.117.137,Communications
8/1/2020 3:40,14.169.36.158,udp,5351,,nat-pmp,0,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,128,2753007,14.169.36.158,Communications
8/1/2020 4:05,115.75.2.97,udp,5351,,nat-pmp,0,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,517312,,128,1303907,115.75.2.97,Communications
8/1/2020 4:34,27.3.198.42,udp,5351,,nat-pmp,0,45543,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,128,8388607,27.3.198.42,Communications
8/1/2020 4:43,113.172.216.249,udp,5351,static.vnpt.vn,nat-pmp,0,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,128,478846,192.168.1.2,Communications
8/1/2020 5:20,123.28.23.29,udp,5351,,nat-pmp,0,45899,VN,HA NOI,HANOI,517311,,128,8388607,0.0.0.0,Communications
