timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,opcode,reported_hostname,status,size
8/1/2020 0:17,123.30.52.20,udp,177,vnptnet.vn,xdmcp,45899,VN,HA NOI,HANOI,517311,,Willing,cachingdns56,"1 user,  load: 0.1, 0.1, 0.1",52
8/1/2020 0:18,123.30.52.45,udp,177,,xdmcp,45899,VN,HA NOI,HANOI,517311,,Willing,cachingdns26,"0 user,  load: 0.2, 0.2, 0.3",52
8/1/2020 0:21,123.30.52.35,udp,177,,xdmcp,45899,VN,HA NOI,HANOI,517311,,Willing,cachingdns16,"0 user,  load: 0.3, 0.2, 0.5",52
8/1/2020 0:26,123.30.52.37,udp,177,,xdmcp,45899,VN,HA NOI,HANOI,517311,,Willing,cachingdns18,"0 user,  load: 0.6, 0.3, 0.4",52
8/1/2020 0:33,222.255.124.89,udp,177,hcm-cp89.vnn.vn,xdmcp,45899,VN,HA NOI,HANOI,517311,,Willing,hcm-cp88,"1 user,  load: 0.1, 0.1, 0.1",48
8/1/2020 0:34,14.225.5.235,udp,177,,xdmcp,135905,VN,HA NOI,HANOI,517311,,Willing,cbx2,Linux 2.6.32-504.el6.x86_64,43
8/1/2020 0:36,123.30.52.28,udp,177,vnptnet.vn,xdmcp,45899,VN,HA NOI,HANOI,517311,,Willing,cachingdns40,"0 user,  load: 0.2, 0.3, 0.4",52
8/1/2020 0:46,103.42.57.62,udp,177,,xdmcp,45899,VN,HA NOI,HANOI,0,,Willing,sapsrv,Linux 4.12.14-23-default,42
8/1/2020 0:50,222.255.124.86,udp,177,,xdmcp,45899,VN,HA NOI,HANOI,517311,,Willing,hcm-cp86,"1 user,  load: 0.1, 0.1, 0.1",48
8/1/2020 0:54,14.225.5.233,udp,177,,xdmcp,135905,VN,HA NOI,HANOI,517311,,Willing,cbx1,Linux 2.6.32-504.el6.x86_64,43
8/1/2020 0:55,123.30.52.76,udp,177,vnptnet.vn,xdmcp,45899,VN,HA NOI,HANOI,517311,,Willing,cachingdns52,"0 user,  load: 0.2, 0.2, 0.3",52
8/1/2020 0:59,123.30.52.36,udp,177,,xdmcp,45899,VN,HA NOI,HANOI,517311,,Willing,cachingdns17,"0 user,  load: 0.1, 0.5, 0.5",52
