timestamp,ip,port,hostname,tag,ipmi_version,asn,geo,region,city,none_auth,md2_auth,md5_auth,passkey_auth,oem_auth,defaultkg,permessage_auth,userlevel_auth,usernames,nulluser,anon_login,error,deviceid,devicerev,firmwarerev,version,manufacturerid,manufacturername,productid,productname,naics,sic,sector
8/1/2020 0:17,103.125.188.51,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:18,103.141.138.14,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:19,115.79.118.196,623,adsl.viettel.vn,ipmi,1.5,7552,VN,VINH LONG,VINH LONG,yes,no,yes,yes,no,-,enabled,enabled,no,yes,no,,,,,,,,,,517312,,Communications
8/1/2020 0:19,103.139.103.212,623,,ipmi,2,18403,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:19,103.141.139.155,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:22,103.141.138.7,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:23,210.2.64.4,623,,ipmi,2,24085,VN,HO CHI MINH,THANH PHO HO CHI MINH,no,yes,yes,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:23,221.132.35.11,623,server-35-11.netsangtao.vn,ipmi,2,45899,VN,HA NOI,HANOI,no,no,yes,no,no,changed,disabled,disabled,yes,no,no,,,,,,,,,,517311,,Communications
8/1/2020 0:23,103.125.188.225,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:25,103.125.188.19,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:25,103.140.250.17,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:25,118.68.218.124,623,,ipmi,2,18403,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,517311,,Communications
8/1/2020 0:26,125.212.250.65,623,,ipmi,2,3873,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,517312,,Communications
8/1/2020 0:27,103.249.102.5,623,mx5.vipsend.net,ipmi,2,45538,VN,DONG NAI,BIEN HOA,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:27,103.141.139.177,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:28,103.88.112.215,623,,ipmi,2,24088,VN,HA NOI,HANOI,no,no,yes,no,no,default,enabled,enabled,yes,no,yes,,,,,,,,,,517312,,Communications
8/1/2020 0:28,103.141.139.135,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:28,103.141.139.209,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:29,45.117.79.126,623,45-117-79-126.static.bizmac.com,ipmi,2,131428,VN,HAI PHONG,HAI PHONG,yes,yes,yes,yes,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:29,103.140.250.10,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:30,103.139.103.209,623,,ipmi,2,18403,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:30,103.88.112.211,623,,ipmi,2,24088,VN,HA NOI,HANOI,no,no,yes,no,no,default,enabled,enabled,yes,no,yes,,,,,,,,,,517312,,Communications
8/1/2020 0:31,103.125.188.63,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:31,103.249.102.2,623,mx2.vipsend.net,ipmi,2,45538,VN,DONG NAI,BIEN HOA,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:31,118.68.218.112,623,,ipmi,2,18403,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,517311,,Communications
8/1/2020 0:32,221.132.37.87,623,m87.filter.lnk.com.vn,ipmi,2,45899,VN,HA NOI,HANOI,no,yes,yes,yes,no,default,disabled,disabled,yes,no,no,,,,,,,,,,517311,,Communications
8/1/2020 0:32,118.68.218.119,623,,ipmi,2,18403,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,517311,,Communications
8/1/2020 0:33,103.88.112.210,623,,ipmi,2,24088,VN,HA NOI,HANOI,no,no,yes,no,no,default,enabled,enabled,yes,no,yes,,,,,,,,,,517312,,Communications
8/1/2020 0:33,103.141.139.241,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:33,103.125.188.69,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:33,103.141.139.81,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:34,103.99.1.9,623,,ipmi,2,135905,VN,THAI NGUYEN,THAI NGUYEN,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:34,171.255.207.3,623,dynamic-ip-adsl.viettel.vn,ipmi,2,7552,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,517312,,Communications
8/1/2020 0:34,103.125.188.85,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:34,103.125.188.43,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:35,118.68.218.122,623,,ipmi,2,18403,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,517311,,Communications
8/1/2020 0:36,103.125.188.53,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:36,103.141.139.169,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:36,103.141.139.107,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:36,103.125.188.215,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:37,210.245.24.35,623,,ipmi,1.5,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,yes,no,yes,yes,no,-,enabled,enabled,no,yes,no,,,,,,,,,,517311,,Communications
8/1/2020 0:37,103.104.122.1,623,static-ptr.vndata.vn,ipmi,2,135932,VN,HA NOI,HANOI,no,yes,yes,no,no,default,disabled,disabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:38,103.141.139.101,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:39,183.91.1.170,623,static.cmcti.vn,ipmi,2,45903,VN,HA NOI,HANOI,no,yes,yes,yes,no,default,enabled,enabled,yes,yes,no,,,,,,,,,,0,,Communications
8/1/2020 0:39,103.127.196.235,623,,ipmi,2,135932,VN,HO CHI MINH,THANH PHO HO CHI MINH,no,yes,yes,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:39,103.125.188.201,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:40,103.109.39.117,623,dc39.kdata.vn,ipmi,2,135942,VN,HAI PHONG,HAI PHONG,no,yes,yes,yes,yes,default,enabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:40,103.139.103.206,623,,ipmi,2,18403,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:40,103.139.103.93,623,,ipmi,2,18403,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:41,103.125.188.27,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:42,103.141.139.181,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:43,103.125.188.131,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:43,103.141.139.85,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:44,118.68.218.114,623,,ipmi,2,18403,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,517311,,Communications
8/1/2020 0:44,103.125.188.221,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:45,103.141.139.161,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:46,222.255.167.209,623,sv7209.powernet.vn,ipmi,2,45899,VN,DA NANG,DA NANG,no,no,yes,no,no,default,disabled,disabled,yes,no,no,,,,,,,,,,517311,,Communications
8/1/2020 0:46,107.155.6.34,623,,ipmi,2,21859,VN,HO CHI MINH,THANH PHO HO CHI MINH,no,yes,yes,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,518210,,
8/1/2020 0:46,171.244.9.182,623,,ipmi,2,38731,VN,HA NOI,HANOI,no,yes,yes,yes,no,default,enabled,enabled,yes,yes,no,,,,,,,,,,517312,,Communications
8/1/2020 0:47,45.118.151.152,623,hosted-by.vonline.vn,ipmi,2,131367,VN,HO CHI MINH,THANH PHO HO CHI MINH,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:47,103.141.138.6,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:47,103.141.138.5,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:48,103.125.188.123,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:48,103.249.102.4,623,mx4.vipsend.net,ipmi,2,45538,VN,DONG NAI,BIEN HOA,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:49,103.141.139.245,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:51,103.140.250.6,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:51,118.68.218.115,623,,ipmi,2,18403,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,517311,,Communications
8/1/2020 0:51,45.122.253.226,623,static.cmcti.vn,ipmi,2,38732,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:52,103.125.188.145,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:53,103.141.139.201,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:53,103.141.139.243,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:54,103.42.56.250,623,ip.vnptcorp.com,ipmi,2,45899,VN,HA NOI,HANOI,no,yes,yes,yes,no,default,enabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:54,103.141.139.219,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:54,103.70.28.117,623,,ipmi,2,63761,VN,HO CHI MINH,THANH PHO HO CHI MINH,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,333995,,Communications
8/1/2020 0:55,103.125.188.79,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:55,103.125.188.65,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:56,118.68.218.135,623,,ipmi,2,18403,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,517311,,Communications
8/1/2020 0:57,103.140.250.18,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:58,103.141.139.123,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:58,103.199.18.136,623,,ipmi,2,63734,VN,HA NOI,HANOI,no,yes,yes,yes,no,default,enabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:59,103.140.250.35,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,yes,no,no,default,enabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 0:59,203.210.143.13,623,static.vnpt.vn,ipmi,2,45899,VN,HA NOI,HANOI,no,no,yes,no,no,default,disabled,disabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:02,103.141.139.189,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:02,103.125.188.75,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:03,103.125.188.236,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:03,103.125.188.229,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:04,103.141.139.205,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:04,103.140.250.31,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:04,103.125.188.89,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:04,103.141.139.239,623,,ipmi,2,135905,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:05,103.139.103.202,623,,ipmi,2,18403,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,0,,Communications
8/1/2020 1:05,118.68.218.121,623,,ipmi,2,18403,VN,HA NOI,HANOI,no,no,no,no,no,default,disabled,enabled,yes,no,no,,,,,,,,,,517311,,Communications
