timestamp,ip,protocol,port,hostname,tag,mac_address,asn,geo,region,city,workgroup,machine_name,username,naics,sic,sector
8/1/2020 0:16,103.150.124.156,udp,137,,netbios,00-50-56-9C-AD-F1,63731,VN,HA NOI,HANOI,,,,0,,Communications
8/1/2020 0:16,203.128.246.198,udp,137,mobifoneservice.com.vn,netbios,40-F2-E9-D9-58-2B,24088,VN,HA NOI,HANOI,WORKGROUP,EDOCMAN1,,0,,Communications
8/1/2020 0:16,103.150.124.222,udp,137,,netbios,00-50-56-9C-82-F5,63731,VN,HA NOI,HANOI,,,,0,,Communications
8/1/2020 0:16,103.127.194.183,udp,137,,netbios,00-50-56-8B-26-D4,131427,VN,THAI BINH,THAI BINH,,,,0,,Communications
8/1/2020 0:16,103.149.253.43,udp,137,,netbios,00-50-56-A3-A8-34,135918,VN,DONG THAP,CAO LANH,WORKGROUP,WIN24115,,0,,Communications
8/1/2020 0:16,202.158.247.141,udp,137,,netbios,00-50-56-A3-43-45,135918,VN,DA NANG,DA NANG,WORKGROUP,WIN16179,,0,,Communications
8/1/2020 0:16,103.28.33.94,udp,137,,netbios,00-50-56-A3-19-87,135918,VN,HA NOI,HANOI,WORKGROUP,WIN15361,,0,,Communications
8/1/2020 0:16,118.71.201.243,udp,137,ip-address-pool-xxx.fpt.vn,netbios,FC-AA-14-3F-84-8B,18403,VN,HUNG YEN,HUNG YEN,WORKGROUP,ADMINISTRATOR,,517311,,Communications
8/1/2020 0:16,103.133.100.53,udp,137,,netbios,AE-E5-02-C2-2B-77,55305,VN,THAI NGUYEN,THAI NGUYEN,,,,0,,Communications
8/1/2020 0:16,103.133.224.116,udp,137,,netbios,8E-8B-CD-8A-B7-FD,63731,VN,HA NOI,HANOI,WORKGROUP,WIN-9C83B69G4UA,,541330,,Communications
8/1/2020 0:17,103.95.199.149,udp,137,,netbios,00-50-56-A3-85-88,135918,VN,BAC NINH,BAC NINH,WORKGROUP,WIN12278,,0,,Communications
8/1/2020 0:17,116.102.116.134,udp,137,,netbios,C0-25-E9-1B-53-DC,7552,VN,TRA VINH,TRA VINH,WORKGROUP,DESKTOP-V427FAO,,517312,,Communications
8/1/2020 0:17,42.117.7.156,udp,137,,netbios,A0-B3-CC-E9-3B-CF,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,WIN-QDCHMONOGA2,,517311,,Communications
8/1/2020 0:17,103.21.151.212,udp,137,,netbios,00-0C-29-36-DB-82,38732,VN,HA NOI,HANOI,WORKGROUP,EMAIL-MEGRAM-01,,0,,Communications
8/1/2020 0:17,210.86.238.98,udp,137,ci238-98.netnam.vn,netbios,00-26-55-51-96-D2,24173,VN,HO CHI MINH,THANH PHO HO CHI MINH,NWSAIGON,NWSGN-IFC02,,0,,Communications
8/1/2020 0:17,103.151.239.213,udp,137,,netbios,00-50-56-A3-9A-8B,38245,VN,HA NOI,HANOI,WORKGROUP,WIN22798,,0,,Communications
8/1/2020 0:17,115.165.164.228,udp,137,,netbios,D0-94-66-11-24-97,38733,VN,HA NOI,HANOI,WORKGROUP,CMC0364-0318,,0,,Communications
8/1/2020 0:17,125.212.217.213,udp,137,,netbios,0C-C4-7A-90-24-C2,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,SERVER,,517312,,Communications
8/1/2020 0:17,103.149.252.240,udp,137,,netbios,00-50-56-A3-AB-7F,135918,VN,DONG THAP,CAO LANH,WORKGROUP,WIN20571,,0,,Communications
8/1/2020 0:17,103.133.227.83,udp,137,,netbios,00-0C-29-D9-2D-33,63731,VN,THUA THIEN-HUE,HUE,,,,541330,,Communications
8/1/2020 0:17,113.160.198.183,udp,137,static.vnpt.vn,netbios,6C-AE-8B-57-B3-57,45899,VN,HA NAM,PHU LY,WORKGROUP,SERVERTL,,517311,,Communications
8/1/2020 0:17,42.117.217.143,udp,137,,netbios,00-00-00-00-00-00,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,MINHTIEN-DESIGN,MINHTIEN-DESIGN,517311,,Communications
8/1/2020 0:17,103.28.33.209,udp,137,,netbios,00-50-56-B1-DC-6C,135918,VN,HA NOI,HANOI,WORKGROUP,DIEN38-PC,,0,,Communications
8/1/2020 0:17,103.238.213.24,udp,137,,netbios,00-25-90-DE-22-A6,131428,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,ADMIN-PC,,0,,Communications
8/1/2020 0:17,103.127.192.190,udp,137,,netbios,00-50-56-8B-56-52,131427,VN,THAI BINH,THAI BINH,,,,0,,Communications
8/1/2020 0:17,103.147.186.40,udp,137,,netbios,00-50-56-AB-B0-CD,131378,VN,HA NOI,HANOI,WORKGROUP,WIN-L4USLO0P3JH,,0,,Communications
